x_t,m_a_teste
5,0.9739583333333336
6,0.9729166666666668
7,0.9770833333333334
8,0.9791666666666666
9,0.9739583333333334
10,0.9708333333333334
11,0.96875
12,0.9770833333333332
13,0.9645833333333333
14,0.984375
15,0.978125
16,0.9750000000000002
17,0.984375
18,0.9833333333333334
19,0.9875
20,0.9927083333333332
21,0.9895833333333334
22,0.9947916666666666
23,0.9958333333333333
24,0.9958333333333332
25,0.9989583333333332
26,0.9927083333333332
27,0.9947916666666664
28,0.99375
29,0.9927083333333334
30,0.9927083333333334
31,0.9927083333333335
32,0.9947916666666666
33,0.9927083333333334
34,0.99375
35,0.9927083333333332
36,0.9947916666666666
37,0.9958333333333332
38,0.9989583333333332
39,0.9947916666666666
40,0.9937499999999998
41,0.9958333333333332
42,0.9927083333333332
43,0.9916666666666666
44,0.9927083333333332
45,0.9958333333333333
46,0.9968750000000002
47,0.9958333333333333
48,0.9979166666666666
49,0.9947916666666667
50,0.9947916666666666
51,0.996875
52,0.9937499999999998
53,0.9989583333333334
54,0.9958333333333332
55,0.9979166666666668
56,0.9927083333333332
57,0.9958333333333332
58,0.996875
59,0.996875
60,0.9947916666666664
61,0.9947916666666667
62,0.996875
63,0.9989583333333332
64,0.996875
65,0.9958333333333332
66,0.9958333333333333
67,0.9989583333333332
68,0.9947916666666666
69,0.9958333333333332
70,0.99375
71,0.99375
72,0.9979166666666666
73,0.9958333333333332
74,0.9979166666666666
75,0.9927083333333334
76,0.9947916666666666
77,0.9947916666666667
78,1
79,0.9958333333333332
80,0.9947916666666666
81,0.9958333333333333
82,0.9947916666666666
83,0.9958333333333333
84,0.9937499999999998
85,0.9989583333333332
86,0.9979166666666666
87,0.9927083333333332
88,0.9958333333333333
89,0.996875
90,0.990625
91,0.9958333333333332
92,0.9947916666666667
93,0.996875
94,0.9927083333333332
95,0.9947916666666666
96,0.996875
97,0.9958333333333333
98,0.99375
99,0.996875
100,0.9958333333333333
