x_t,m_a_teste
5,0.8888020833333334
6,0.90546875
7,0.8968749999999999
8,0.9041666666666665
9,0.9151041666666668
10,0.9135416666666668
11,0.9190104166666666
12,0.9229166666666668
13,0.9130208333333332
14,0.9236979166666668
15,0.9328124999999998
16,0.9231770833333333
17,0.9239583333333335
18,0.9270833333333334
19,0.9231770833333336
20,0.930989583333333
21,0.9296875000000002
22,0.9322916666666666
23,0.9296875
24,0.9325520833333332
25,0.9283854166666666
26,0.92890625
27,0.9325520833333332
28,0.9346354166666666
29,0.9346354166666666
30,0.93515625
31,0.9286458333333332
32,0.9260416666666668
33,0.9354166666666668
34,0.9231770833333334
35,0.9281249999999999
36,0.9315104166666666
37,0.9302083333333334
38,0.9367187500000002
39,0.9369791666666666
40,0.9302083333333334
41,0.93515625
42,0.9330729166666668
43,0.9312500000000001
44,0.9315104166666668
45,0.9343749999999998
46,0.9361979166666664
47,0.9343750000000002
48,0.9335937499999998
49,0.9421875
50,0.9401041666666666
51,0.9382812500000002
52,0.9322916666666667
53,0.9286458333333334
54,0.93984375
55,0.9385416666666668
56,0.9361979166666667
57,0.9411458333333332
58,0.9322916666666667
59,0.9377604166666667
60,0.9419270833333332
61,0.940625
62,0.9421875
63,0.9348958333333333
64,0.9440104166666667
65,0.94140625
66,0.9393229166666668
67,0.9447916666666668
68,0.94296875
69,0.93984375
70,0.94765625
71,0.94140625
72,0.94609375
73,0.93984375
74,0.9455729166666667
75,0.9440104166666667
76,0.94765625
77,0.9434895833333334
78,0.9416666666666667
79,0.9434895833333334
80,0.9421875
81,0.9432291666666666
82,0.9424479166666666
83,0.9408854166666668
84,0.94453125
85,0.9434895833333334
86,0.9411458333333333
87,0.94609375
88,0.9473958333333332
89,0.9437499999999999
90,0.94453125
91,0.9507812500000001
92,0.9442708333333334
93,0.9479166666666664
94,0.94375
95,0.9432291666666665
96,0.9466145833333334
97,0.9424479166666668
98,0.9518229166666667
99,0.9458333333333334
100,0.9489583333333333
